Country,Withdrawal,Aver,SuccessRate, 
Australia,0.00,57.01,1.00,
Australia,0.50,56.83,1.00,
Australia,1.00,53.07,1.00,
Australia,1.50,49.14,1.00,
Australia,2.00,45.17,1.00,
Australia,2.50,56.67,1.00,
Australia,3.00,37.47,1.00,
Australia,3.50,33.48,1.00,
Australia,4.00,29.91,1.00,
Australia,4.50,26.19,1.00,
Australia,5.00,56.38,1.00,
Australia,5.50,18.76,0.99,
Australia,6.00,14.63,0.96,
Australia,6.50,11.16,0.90,
Australia,7.00,7.78,0.77,
Australia,7.50,56.82,1.00,
Australia,8.00,3.11,0.42,
Australia,8.50,1.55,0.24,
Australia,9.00,0.75,0.13,
Australia,9.50,0.32,0.06,
Austria,0.00,8.14,1.00,
Austria,0.50,7.12,1.00,
Austria,1.00,6.08,1.00,
Austria,1.50,4.86,0.98,
Austria,2.00,3.90,0.94,
Austria,2.50,2.96,0.84,
Austria,3.00,2.07,0.69,
Austria,3.50,1.34,0.51,
Austria,4.00,0.80,0.34,
Austria,4.50,0.42,0.19,
Austria,5.00,0.23,0.11,
Austria,5.50,0.11,0.06,
Austria,6.00,0.05,0.03,
Austria,6.50,0.02,0.01,
Austria,7.00,0.01,0.00,
Austria,7.50,0.00,0.00,
Austria,8.00,0.00,0.00,
Austria,8.50,0.00,0.00,
Austria,9.00,0.00,0.00,
Austria,9.50,0.00,0.00,
Belgium,0.00,11.19,1.00,
Belgium,0.50,9.83,1.00,
Belgium,1.00,8.70,1.00,
Belgium,1.50,7.42,1.00,
Belgium,2.00,6.02,1.00,
Belgium,2.50,4.87,0.98,
Belgium,3.00,3.55,0.92,
Belgium,3.50,2.40,0.77,
Belgium,4.00,1.55,0.57,
Belgium,4.50,0.86,0.36,
Belgium,5.00,0.45,0.20,
Belgium,5.50,0.20,0.10,
Belgium,6.00,0.09,0.04,
Belgium,6.50,0.03,0.02,
Belgium,7.00,0.02,0.01,
Belgium,7.50,0.00,0.00,
Belgium,8.00,0.00,0.00,
Belgium,8.50,0.00,0.00,
Belgium,9.00,0.00,0.00,
Belgium,9.50,0.00,0.00,
Canada,0.00,35.26,1.00,
Canada,0.50,32.98,1.00,
Canada,1.00,30.10,1.00,
Canada,1.50,27.52,1.00,
Canada,2.00,24.82,1.00,
Canada,2.50,22.22,1.00,
Canada,3.00,19.60,1.00,
Canada,3.50,16.91,1.00,
Canada,4.00,14.30,1.00,
Canada,4.50,11.63,1.00,
Canada,5.00,9.03,0.97,
Canada,5.50,6.47,0.89,
Canada,6.00,4.25,0.73,
Canada,6.50,2.51,0.52,
Canada,7.00,1.30,0.31,
Canada,7.50,0.59,0.16,
Canada,8.00,0.23,0.07,
Canada,8.50,0.10,0.03,
Canada,9.00,0.04,0.01,
Canada,9.50,0.01,0.00,
China,0.00,4.37,1.00,
China,0.50,3.60,1.00,
China,1.00,2.83,0.99,
China,1.50,2.06,0.94,
China,2.00,1.37,0.78,
China,2.50,0.84,0.55,
China,3.00,0.42,0.32,
China,3.50,0.20,0.17,
China,4.00,0.10,0.08,
China,4.50,0.04,0.03,
China,5.00,0.02,0.01,
China,5.50,0.01,0.01,
China,6.00,0.00,0.00,
China,6.50,0.00,0.00,
China,7.00,0.00,0.00,
China,7.50,0.00,0.00,
China,8.00,0.00,0.00,
China,8.50,0.00,0.00,
China,9.00,0.00,0.00,
China,9.50,0.00,0.00,
Denmark,0.00,26.54,1.00,
Denmark,0.50,24.19,1.00,
Denmark,1.00,22.05,1.00,
Denmark,1.50,20.05,1.00,
Denmark,2.00,17.88,1.00,
Denmark,2.50,15.62,1.00,
Denmark,3.00,13.50,1.00,
Denmark,3.50,11.10,1.00,
Denmark,4.00,9.05,0.99,
Denmark,4.50,6.88,0.96,
Denmark,5.00,4.79,0.86,
Denmark,5.50,3.13,0.69,
Denmark,6.00,1.71,0.46,
Denmark,6.50,0.83,0.26,
Denmark,7.00,0.36,0.12,
Denmark,7.50,0.12,0.05,
Denmark,8.00,0.05,0.02,
Denmark,8.50,0.01,0.01,
Denmark,9.00,0.00,0.00,
Denmark,9.50,0.00,0.00,
Europe,0.00,29.23,1.00,
Europe,0.50,26.56,1.00,
Europe,1.00,24.54,1.00,
Europe,1.50,22.22,1.00,
Europe,2.00,19.76,1.00,
Europe,2.50,17.55,1.00,
Europe,3.00,15.16,1.00,
Europe,3.50,12.87,0.99,
Europe,4.00,10.46,0.98,
Europe,4.50,8.39,0.93,
Europe,5.00,6.22,0.83,
Europe,5.50,4.34,0.69,
Europe,6.00,2.85,0.52,
Europe,6.50,1.70,0.34,
Europe,7.00,0.94,0.21,
Europe,7.50,0.51,0.12,
Europe,8.00,0.25,0.06,
Europe,8.50,0.14,0.03,
Europe,9.00,0.05,0.01,
Europe,9.50,0.03,0.01,
Finland,0.00,29.46,1.00,
Finland,0.50,27.48,1.00,
Finland,1.00,24.91,1.00,
Finland,1.50,22.53,1.00,
Finland,2.00,19.97,1.00,
Finland,2.50,17.85,1.00,
Finland,3.00,15.66,1.00,
Finland,3.50,13.16,0.99,
Finland,4.00,10.69,0.95,
Finland,4.50,8.63,0.89,
Finland,5.00,6.65,0.79,
Finland,5.50,4.68,0.65,
Finland,6.00,3.24,0.50,
Finland,6.50,2.14,0.35,
Finland,7.00,1.29,0.23,
Finland,7.50,0.78,0.14,
Finland,8.00,0.43,0.08,
Finland,8.50,0.22,0.05,
Finland,9.00,0.13,0.03,
Finland,9.50,0.07,0.01,
France,0.00,12.93,1.00,
France,0.50,11.64,1.00,
France,1.00,10.21,1.00,
France,1.50,8.86,1.00,
France,2.00,7.29,1.00,
France,2.50,6.02,0.99,
France,3.00,4.64,0.96,
France,3.50,3.31,0.85,
France,4.00,2.15,0.66,
France,4.50,1.34,0.46,
France,5.00,0.73,0.27,
France,5.50,0.41,0.15,
France,6.00,0.20,0.08,
France,6.50,0.10,0.04,
France,7.00,0.04,0.02,
France,7.50,0.02,0.01,
France,8.00,0.01,0.00,
France,8.50,0.00,0.00,
France,9.00,0.00,0.00,
France,9.50,0.00,0.00,
Germany,0.00,16.04,1.00,
Germany,0.50,14.70,1.00,
Germany,1.00,12.93,1.00,
Germany,1.50,11.37,1.00,
Germany,2.00,9.80,0.99,
Germany,2.50,8.08,0.97,
Germany,3.00,6.69,0.92,
Germany,3.50,5.27,0.83,
Germany,4.00,3.86,0.70,
Germany,4.50,2.77,0.57,
Germany,5.00,1.89,0.42,
Germany,5.50,1.24,0.29,
Germany,6.00,0.73,0.19,
Germany,6.50,0.41,0.11,
Germany,7.00,0.21,0.06,
Germany,7.50,0.08,0.03,
Germany,8.00,0.05,0.02,
Germany,8.50,0.02,0.01,
Germany,9.00,0.01,0.00,
Germany,9.50,0.00,0.00,
Ireland,0.00,22.53,1.00,
Ireland,0.50,20.45,1.00,
Ireland,1.00,18.68,1.00,
Ireland,1.50,16.51,1.00,
Ireland,2.00,14.68,1.00,
Ireland,2.50,12.64,1.00,
Ireland,3.00,10.70,1.00,
Ireland,3.50,8.78,0.98,
Ireland,4.00,6.88,0.93,
Ireland,4.50,5.05,0.82,
Ireland,5.00,3.53,0.67,
Ireland,5.50,2.27,0.49,
Ireland,6.00,1.42,0.33,
Ireland,6.50,0.75,0.20,
Ireland,7.00,0.44,0.11,
Ireland,7.50,0.20,0.05,
Ireland,8.00,0.10,0.03,
Ireland,8.50,0.04,0.01,
Ireland,9.00,0.02,0.00,
Ireland,9.50,0.01,0.00,
Italy,0.00,8.28,1.00,
Italy,0.50,7.23,1.00,
Italy,1.00,6.10,1.00,
Italy,1.50,5.08,1.00,
Italy,2.00,4.03,0.97,
Italy,2.50,2.93,0.89,
Italy,3.00,2.01,0.73,
Italy,3.50,1.25,0.53,
Italy,4.00,0.74,0.34,
Italy,4.50,0.40,0.19,
Italy,5.00,0.22,0.10,
Italy,5.50,0.09,0.05,
Italy,6.00,0.04,0.02,
Italy,6.50,0.02,0.01,
Italy,7.00,0.01,0.00,
Italy,7.50,0.00,0.00,
Italy,8.00,0.00,0.00,
Italy,8.50,0.00,0.00,
Italy,9.00,0.00,0.00,
Italy,9.50,0.00,0.00,
Japan,0.00,19.52,1.00,
Japan,0.50,17.52,1.00,
Japan,1.00,15.90,1.00,
Japan,1.50,14.20,1.00,
Japan,2.00,12.29,1.00,
Japan,2.50,10.49,0.98,
Japan,3.00,8.68,0.94,
Japan,3.50,7.11,0.87,
Japan,4.00,5.39,0.76,
Japan,4.50,4.26,0.64,
Japan,5.00,2.99,0.50,
Japan,5.50,2.02,0.37,
Japan,6.00,1.38,0.26,
Japan,6.50,0.91,0.17,
Japan,7.00,0.56,0.11,
Japan,7.50,0.32,0.07,
Japan,8.00,0.16,0.04,
Japan,8.50,0.10,0.02,
Japan,9.00,0.06,0.01,
Japan,9.50,0.03,0.01,
Netherlands,0.00,28.40,1.00,
Netherlands,0.50,25.78,1.00,
Netherlands,1.00,23.75,1.00,
Netherlands,1.50,21.70,1.00,
Netherlands,2.00,19.09,1.00,
Netherlands,2.50,28.12,1.00,
Netherlands,3.00,14.74,1.00,
Netherlands,3.50,12.38,1.00,
Netherlands,4.00,10.15,0.98,
Netherlands,4.50,7.97,0.93,
Netherlands,5.00,5.79,0.82,
Netherlands,5.50,4.13,0.67,
Netherlands,6.00,2.62,0.48,
Netherlands,6.50,1.55,0.31,
Netherlands,7.00,0.90,0.19,
Netherlands,7.50,0.51,0.10,
Netherlands,8.00,0.29,0.06,
Netherlands,8.50,0.17,0.03,
Netherlands,9.00,0.07,0.01,
Netherlands,9.50,0.05,0.01,
NewZealand,0.00,39.59,1.00,
NewZealand,0.50,36.82,1.00,
NewZealand,1.00,34.04,1.00,
NewZealand,1.50,30.94,1.00,
NewZealand,2.00,28.20,1.00,
NewZealand,2.50,25.48,1.00,
NewZealand,3.00,22.47,1.00,
NewZealand,3.50,19.63,1.00,
NewZealand,4.00,16.99,1.00,
NewZealand,4.50,14.00,1.00,
NewZealand,5.00,11.07,0.98,
NewZealand,5.50,8.32,0.93,
NewZealand,6.00,5.87,0.82,
NewZealand,6.50,3.72,0.64,
NewZealand,7.00,2.02,0.42,
NewZealand,7.50,0.97,0.24,
NewZealand,8.00,0.43,0.11,
NewZealand,8.50,0.15,0.05,
NewZealand,9.00,0.05,0.02,
NewZealand,9.50,0.02,0.00,
Norway,0.00,21.43,1.00,
Norway,0.50,19.44,1.00,
Norway,1.00,17.48,1.00,
Norway,1.50,15.78,1.00,
Norway,2.00,13.83,1.00,
Norway,2.50,11.91,1.00,
Norway,3.00,9.85,1.00,
Norway,3.50,8.07,0.98,
Norway,4.00,6.21,0.92,
Norway,4.50,4.47,0.81,
Norway,5.00,3.07,0.64,
Norway,5.50,1.89,0.45,
Norway,6.00,1.08,0.29,
Norway,6.50,0.56,0.16,
Norway,7.00,0.31,0.09,
Norway,7.50,0.14,0.04,
Norway,8.00,0.05,0.02,
Norway,8.50,0.03,0.01,
Norway,9.00,0.01,0.00,
Norway,9.50,0.01,0.00,
Portugal,0.00,15.05,1.00,
Portugal,0.50,13.35,1.00,
Portugal,1.00,11.78,1.00,
Portugal,1.50,10.30,1.00,
Portugal,2.00,8.78,0.99,
Portugal,2.50,7.25,0.97,
Portugal,3.00,5.75,0.91,
Portugal,3.50,4.46,0.80,
Portugal,4.00,3.30,0.66,
Portugal,4.50,2.28,0.52,
Portugal,5.00,1.47,0.36,
Portugal,5.50,0.93,0.24,
Portugal,6.00,0.54,0.15,
Portugal,6.50,0.31,0.09,
Portugal,7.00,0.17,0.05,
Portugal,7.50,0.10,0.03,
Portugal,8.00,0.06,0.01,
Portugal,8.50,0.03,0.01,
Portugal,9.00,0.01,0.00,
Portugal,9.50,0.01,0.00,
Russia,0.00,18.39,1.00,
Russia,0.50,16.28,1.00,
Russia,1.00,14.74,0.98,
Russia,1.50,13.13,0.93,
Russia,2.00,11.56,0.85,
Russia,2.50,9.67,0.75,
Russia,3.00,8.32,0.65,
Russia,3.50,7.23,0.56,
Russia,4.00,5.93,0.46,
Russia,4.50,4.76,0.37,
Russia,5.00,4.19,0.31,
Russia,5.50,3.86,0.26,
Russia,6.00,3.29,0.21,
Russia,6.50,2.29,0.16,
Russia,7.00,2.14,0.13,
Russia,7.50,1.52,0.10,
Russia,8.00,1.25,0.08,
Russia,8.50,1.05,0.06,
Russia,9.00,0.82,0.05,
Russia,9.50,0.75,0.04,
SouthAfrica,0.00,58.62,1.00,
SouthAfrica,0.50,54.68,1.00,
SouthAfrica,1.00,50.75,1.00,
SouthAfrica,1.50,46.71,1.00,
SouthAfrica,2.00,43.74,1.00,
SouthAfrica,2.50,39.47,1.00,
SouthAfrica,3.00,36.36,1.00,
SouthAfrica,3.50,32.27,1.00,
SouthAfrica,4.00,28.59,1.00,
SouthAfrica,4.50,24.62,1.00,
SouthAfrica,5.00,21.20,0.99,
SouthAfrica,5.50,17.34,0.96,
SouthAfrica,6.00,13.56,0.91,
SouthAfrica,6.50,10.67,0.82,
SouthAfrica,7.00,7.62,0.70,
SouthAfrica,7.50,5.18,0.53,
SouthAfrica,8.00,3.25,0.36,
SouthAfrica,8.50,1.96,0.25,
SouthAfrica,9.00,1.02,0.14,
SouthAfrica,9.50,0.53,0.08,
Spain,0.00,15.54,1.00,
Spain,0.50,13.98,1.00,
Spain,1.00,12.49,1.00,
Spain,1.50,10.86,1.00,
Spain,2.00,9.35,1.00,
Spain,2.50,7.77,1.00,
Spain,3.00,6.23,0.99,
Spain,3.50,4.71,0.95,
Spain,4.00,3.23,0.83,
Spain,4.50,2.06,0.65,
Spain,5.00,1.09,0.41,
Spain,5.50,0.55,0.24,
Spain,6.00,0.24,0.11,
Spain,6.50,0.08,0.04,
Spain,7.00,0.03,0.02,
Spain,7.50,0.01,0.01,
Spain,8.00,0.00,0.00,
Spain,8.50,0.00,0.00,
Spain,9.00,0.00,0.00,
Spain,9.50,0.00,0.00,
Sweden,0.00,35.91,1.00,
Sweden,0.50,33.25,1.00,
Sweden,1.00,30.35,1.00,
Sweden,1.50,27.83,1.00,
Sweden,2.00,25.07,1.00,
Sweden,2.50,22.56,1.00,
Sweden,3.00,19.83,1.00,
Sweden,3.50,16.98,0.99,
Sweden,4.00,14.64,0.98,
Sweden,4.50,11.84,0.95,
Sweden,5.00,9.41,0.89,
Sweden,5.50,7.07,0.79,
Sweden,6.00,5.09,0.66,
Sweden,6.50,3.40,0.50,
Sweden,7.00,1.98,0.34,
Sweden,7.50,1.16,0.22,
Sweden,8.00,0.67,0.13,
Sweden,8.50,0.34,0.07,
Sweden,9.00,0.13,0.03,
Sweden,9.50,0.05,0.01,
Switzerland,0.00,21.09,1.00,
Switzerland,0.50,19.06,1.00,
Switzerland,1.00,17.31,1.00,
Switzerland,1.50,15.33,1.00,
Switzerland,2.00,13.45,1.00,
Switzerland,2.50,11.59,1.00,
Switzerland,3.00,9.65,1.00,
Switzerland,3.50,7.90,0.99,
Switzerland,4.00,5.96,0.95,
Switzerland,4.50,4.27,0.86,
Switzerland,5.00,2.74,0.67,
Switzerland,5.50,1.57,0.46,
Switzerland,6.00,0.80,0.27,
Switzerland,6.50,0.37,0.14,
Switzerland,7.00,0.14,0.06,
Switzerland,7.50,0.05,0.02,
Switzerland,8.00,0.02,0.01,
Switzerland,8.50,0.01,0.00,
Switzerland,9.00,0.00,0.00,
Switzerland,9.50,0.00,0.00,
UK,0.00,29.77,1.00,
UK,0.50,27.41,1.00,
UK,1.00,24.92,1.00,
UK,1.50,22.97,1.00,
UK,2.00,20.57,1.00,
UK,2.50,18.06,1.00,
UK,3.00,15.63,1.00,
UK,3.50,13.49,1.00,
UK,4.00,10.92,0.99,
UK,4.50,8.73,0.97,
UK,5.00,6.48,0.90,
UK,5.50,4.34,0.76,
UK,6.00,2.70,0.56,
UK,6.50,1.49,0.36,
UK,7.00,0.76,0.20,
UK,7.50,0.32,0.09,
UK,8.00,0.15,0.04,
UK,8.50,0.05,0.02,
UK,9.00,0.02,0.01,
UK,9.50,0.01,0.00,
US,0.00,40.87,1.00,
US,0.50,38.30,1.00,
US,1.00,35.10,1.00,
US,1.50,32.35,1.00,
US,2.00,29.52,1.00,
US,2.50,26.12,1.00,
US,3.00,23.40,1.00,
US,3.50,20.77,1.00,
US,4.00,17.76,1.00,
US,4.50,14.59,0.99,
US,5.00,11.85,0.97,
US,5.50,9.03,0.91,
US,6.00,6.43,0.79,
US,6.50,4.19,0.61,
US,7.00,2.67,0.44,
US,7.50,1.36,0.27,
US,8.00,0.73,0.16,
US,8.50,0.34,0.08,
US,9.00,0.13,0.03,
US,9.50,0.06,0.01,
World,0.00,23.41,1.00,
World,0.50,21.45,1.00,
World,1.00,19.41,1.00,
World,1.50,17.40,1.00,
World,2.00,15.36,1.00,
World,2.50,13.37,1.00,
World,3.00,11.35,1.00,
World,3.50,9.36,0.99,
World,4.00,7.38,0.97,
World,4.50,5.41,0.90,
World,5.00,3.70,0.76,
World,5.50,2.24,0.56,
World,6.00,1.27,0.36,
World,6.50,0.62,0.19,
World,7.00,0.24,0.09,
World,7.50,0.09,0.04,
World,8.00,0.04,0.02,
World,8.50,0.01,0.01,
World,9.00,0.00,0.00,
World,9.50,0.00,0.00,
WorldMinusUS,0.00,30.22,1.00,
WorldMinusUS,0.50,27.79,1.00,
WorldMinusUS,1.00,25.30,1.00,
WorldMinusUS,1.50,22.94,1.00,
WorldMinusUS,2.00,20.75,1.00,
WorldMinusUS,2.50,18.42,1.00,
WorldMinusUS,3.00,15.73,1.00,
WorldMinusUS,3.50,13.34,1.00,
WorldMinusUS,4.00,11.15,0.98,
WorldMinusUS,4.50,8.84,0.94,
WorldMinusUS,5.00,6.58,0.85,
WorldMinusUS,5.50,4.65,0.72,
WorldMinusUS,6.00,3.03,0.54,
WorldMinusUS,6.50,1.81,0.36,
WorldMinusUS,7.00,1.07,0.23,
WorldMinusUS,7.50,0.58,0.13,
WorldMinusUS,8.00,0.28,0.07,
WorldMinusUS,8.50,0.12,0.03,
WorldMinusUS,9.00,0.06,0.01,
WorldMinusUS,9.50,0.03,0.01,
